kb	official_url	genres_csv	accesses_csv	statuses_csv
LightGBM Documentation Search	https://lightgbm.readthedocs.io/en/latest/search.html	G29/G30	FREE_NO_AUTH	PARTIAL
KnotInfo	https://linkinfo.knotinfo.org/	G18	FREE_NO_AUTH	PARTIAL
LOINC	https://loinc.org/	G03/G14/G23	FREE_NO_AUTH	PARTIAL
LOINC Search API / Terminology Service	https://loinc.org/kb/api/search-api	G23	FREE_AUTH	PARTIAL
ICANN RDAP Lookup	https://lookup.icann.org/en/lookup	G36	FREE_NO_AUTH	PARTIAL
LuaRocks Module Repository	https://luarocks.org/search	G29	FREE_NO_AUTH	PARTIAL
UN Security Council Consolidated Sanctions List	https://main.un.org/securitycouncil/en/content/un-sc-consolidated-list	G35	FREE_NO_AUTH	PARTIAL
NIST Materials Data Repository	https://materialsdata.nist.gov/	G20/G25/G26/G37	FREE_NO_AUTH	PARTIAL
NIST Matrix Market	https://math.nist.gov/MatrixMarket/searchtool.html	G18	FREE_NO_AUTH	PARTIAL
Wolfram MathWorld	https://mathworld.wolfram.com/	G18	FREE_NO_AUTH	PARTIAL
MetaCPAN	https://metacpan.org/	G29	FREE_NO_AUTH	PARTIAL
Metropolitan Museum of Art Collection API	https://metmuseum.github.io/	G16	FREE_NO_AUTH	PARTIAL
NIMS Materials Database (MatNavi)	https://mits.nims.go.jp/en/	G26	CONSTRAINED	PARTIAL
MLCommons MLPerf Results	https://mlcommons.org/benchmarks/	G30	FREE_NO_AUTH	PARTIAL
MLflow Documentation / Search	https://mlflow.org/docs/latest/api_reference/search.html	G29/G30	FREE_NO_AUTH	PASS
Taiwan Laws & Regulations Database	https://mojlaw.moj.gov.tw/ENG/LawQueryE.aspx	G08	FREE_NO_AUTH	PARTIAL
Mondo Disease Ontology	https://monarchinitiative.org/ontologies/mondo	G03/G14/G23	FREE_NO_AUTH	PARTIAL
USGS Mineral Resources Online Spatial Data	https://mrdata.usgs.gov/	G21/G27/G25/G37	FREE_NO_AUTH	PARTIAL
NGA Maritime Safety Information - Notice to Mariners Search	https://msi.nga.mil/NTM	G28/G35	FREE_NO_AUTH	PARTIAL
Microsoft Security Update Guide	https://msrc.microsoft.com/update-guide/	G29/G31	FREE_NO_AUTH	PARTIAL
MusicBrainz Web Service Search	https://musicbrainz.org/doc/MusicBrainz_API/Search	G16	FREE_NO_AUTH	PARTIAL
NamUs	https://namus.nij.ojp.gov/	G34	FREE_NO_AUTH	PARTIAL
Canadian Geographical Names Database	https://natural-resources.canada.ca/maps-tools-publications/tools-applications/canadian-geographical-names-database	G05	FREE_NO_AUTH	PARTIAL
NCES College Navigator	https://nces.ed.gov/collegenavigator/	G13	FREE_NO_AUTH	PARTIAL
NCES DataLab	https://nces.ed.gov/datalab	G13/G37	FREE_AUTH	PARTIAL
NIST National Checklist Repository	https://ncp.nist.gov/repository	G31/G32	FREE_NO_AUTH	PARTIAL
NIMH Data Archive (NDA)	https://nda.nih.gov/	G03	CONSTRAINED	PARTIAL
IAEA EXFOR	https://nds.iaea.org/exfor/	G19	FREE_NO_AUTH	PARTIAL
IAEA LiveChart of Nuclides	https://nds.iaea.org/relnsd/vcharthtml/VChartHTML.html	G19/G20	FREE_NO_AUTH	PARTIAL
NEMSIS Public Dashboards	https://nemsis.org/view-reports/public-reports/version-3-public-dashboards/	G34	FREE_NO_AUTH	PARTIAL
NEOS Guide / NEOS Solver Directory	https://neos-guide.org/guide/	G18/G29/G37	FREE_NO_AUTH	PASS
NeuroMorpho.Org	https://neuromorpho.org/	G03	FREE_NO_AUTH	PARTIAL
Neurosynth	https://neurosynth.org/	G03	FREE_NO_AUTH	PARTIAL
USGS National Geologic Map Database	https://ngmdb.usgs.gov/	G21/G26/G37	FREE_NO_AUTH	PARTIAL
USACE National Inventory of Dams	https://nid.sec.usace.army.mil/	G26/G34	FREE_NO_AUTH	PARTIAL
USACE National Inventory of Dams (NID)	https://nid.sec.usace.army.mil/nid/	G26/G34	FREE_NO_AUTH	PARTIAL
Nim Documentation Searchable Index	https://nim-lang.org/docs/theindex.html	G29	FREE_NO_AUTH	PARTIAL
Node.js API Documentation Search	https://nodejs.org/api/	G29	FREE_NO_AUTH	PASS
ILO NORMLEX	https://normlex.ilo.org/	G12/G08	FREE_NO_AUTH	PARTIAL
NPS NPGallery National Register of Historic Places	https://npgallery.nps.gov/nrhp/AdvancedSearch	G04/G16	FREE_NO_AUTH	PARTIAL
NASA Technical Reports Server (NTRS)	https://ntrs.nasa.gov/search	G19/G25/G37	FREE_NO_AUTH	PARTIAL
NVD Official CPE Dictionary / CPE Search	https://nvd.nist.gov/products/cpe/search	G31	FREE_NO_AUTH	PARTIAL
OCaml Documentation Search	https://ocaml.org/docs/search	G29	FREE_NO_AUTH	PARTIAL
OECD.AI Policy Navigator	https://oecd.ai/	G30/G07/G08	FREE_NO_AUTH	PARTIAL
OECD Catalogue of Tools & Metrics for Trustworthy AI	https://oecd.ai/en/catalogue/tools	G30/G31/G32	FREE_NO_AUTH	PARTIAL
OECD AI Incidents Monitor	https://oecd.ai/en/incidents	G30/G34	FREE_NO_AUTH	PARTIAL
OLAC Language Resources Catalog	https://olac.ldc.upenn.edu/	G14/G15	FREE_NO_AUTH	PARTIAL
NASA SPDF OMNIWeb	https://omniweb.gsfc.nasa.gov/omniweb/	G19/G21	FREE_NO_AUTH	PARTIAL
ONNX Documentation / Operators Search	https://onnx.ai/onnx/	G29/G30	FREE_NO_AUTH	PARTIAL
EuroVoc / EU Vocabularies	https://op.europa.eu/en/web/eu-vocabularies	G01/G06/G08/G14/G32	FREE_NO_AUTH	PARTIAL
U.S. Department of Education DAPIP	https://ope.ed.gov/dapip/	G13	FREE_NO_AUTH	PARTIAL
ISO/IEC JTC1/SC22/WG14 C Standards / Public Drafts	https://open-std.org/jtc1/sc22/wg14/	G29/G32	FREE_NO_AUTH	PASS
openFDA Drug Adverse Events	https://open.fda.gov/apis/	G23	FREE_NO_AUTH	PARTIAL
openFDA Device 510(k)	https://open.fda.gov/apis/device/	G23/G33,G23	FREE_NO_AUTH	PARTIAL
openFDA Device PMA	https://open.fda.gov/apis/device/pma/	G23	FREE_NO_AUTH	PARTIAL
openFDA Device Registration & Listing	https://open.fda.gov/apis/device/registrationlisting/how-to-use-the-endpoint/	G23	FREE_NO_AUTH	PARTIAL
openFDA GUDID / Device UDI	https://open.fda.gov/apis/device/udi/how-to-use-the-endpoint/	G23/G33	FREE_NO_AUTH	PARTIAL
openFDA Drugs@FDA	https://open.fda.gov/apis/drug/drugsfda/	G23	FREE_NO_AUTH	PARTIAL
openFDA Drug Labeling	https://open.fda.gov/apis/drug/label/	G23	FREE_NO_AUTH	PARTIAL
SAM.gov Get Opportunities Public API	https://open.gsa.gov/api/get-opportunities-public-api/	G07/G10/G35	FREE_AUTH	PARTIAL
Regulations.gov API v4	https://open.gsa.gov/api/regulationsgov/	G07/G08/G32	FREE_AUTH	PARTIAL
OpenCompass / CompassRank & CompassHub	https://opencompass.org.cn/	G30	FREE_NO_AUTH	PARTIAL
CERN Open Data Portal	https://opendata.cern.ch/	G19/G37	FREE_NO_AUTH	PARTIAL
OpenML	https://openml.org/	G30/G37	FREE_NO_AUTH	PARTIAL
OpenNeuro	https://openneuro.org/search	G03	FREE_NO_AUTH	PARTIAL
Optuna Documentation Search	https://optuna.readthedocs.io/en/stable/search.html	G29/G30	FREE_NO_AUTH	PARTIAL
OPUS｜Open Parallel Corpus Search / API	https://opus.nlpl.eu/	G14	FREE_NO_AUTH	PASS
EPA Pesticide Product and Label System (PPLS)	https://ordspub.epa.gov/ords/pesticides/f?p=PPLS:1	G24/G33	FREE_NO_AUTH	PARTIAL
OSV.dev API	https://osv.dev/	G29/G31	FREE_NO_AUTH	PASS
Debian Packages Search	https://packages.debian.org/	G29	FREE_NO_AUTH	PARTIAL
Ubuntu Packages Search	https://packages.ubuntu.com/	G29	FREE_NO_AUTH	PARTIAL
Pan African Clinical Trials Registry (PACTR)	https://pactr.samrc.ac.za/	G23	FREE_NO_AUTH	PARTIAL
WIPO PATENTSCOPE	https://patentscope.wipo.int/search/en/advancedSearch.jsf	G32	FREE_NO_AUTH	PARTIAL
UN Peacemaker Peace Agreements Search	https://peacemaker.un.org/en/areas-of-work/peace-agreements-database-and-language-of-peace-tool/peace-agreements-search	G07	FREE_NO_AUTH	PARTIAL
PEGI Game Ratings Search	https://pegi.info/search-pegi	G17	FREE_NO_AUTH	PARTIAL
Perl Documentation / Perldoc Search	https://perldoc.perl.org/	G29	FREE_NO_AUTH	PASS
PhilArchive	https://philarchive.org/	G02/G37	FREE_NO_AUTH	PARTIAL
PhilPapers	https://philpapers.org/	G02/G37	FREE_NO_AUTH	PARTIAL
PhilSci-Archive	https://philsci-archive.pitt.edu/	G02	FREE_NO_AUTH	PARTIAL
NIST Atomic Spectra Database (ASD)	https://physics.nist.gov/asd	G19/G20	FREE_NO_AUTH	PARTIAL
NIST CODATA	https://physics.nist.gov/cuu/Constants/index.html	G18/G19	FREE_NO_AUTH	PASS
NIST Atomic Weights and Isotopic Compositions	https://physics.nist.gov/PhysRefData/Compositions/index.html	G20	FREE_NO_AUTH	PASS
pkg.go.dev Search & API	https://pkg.go.dev/	G29	FREE_NO_AUTH	PARTIAL
Alpine Linux Package Index	https://pkgs.alpinelinux.org/packages	G29	FREE_NO_AUTH	PARTIAL
USDA PLANTS Database	https://plants.sc.egov.usda.gov/home/	G22/G24/G38	FREE_NO_AUTH	PARTIAL
Stanford Encyclopedia of Philosophy Search	https://plato.stanford.edu/search	G02	FREE_NO_AUTH	PARTIAL
Pleiades Gazetteer of Ancient Places	https://pleiades.stoa.org/	G04/G05	FREE_NO_AUTH	PARTIAL
3GPP Specifications Portal Search	https://portal.3gpp.org/Specifications.aspx	G36	FREE_NO_AUTH	PARTIAL
ARIADNE Archaeology Data Portal	https://portal.ariadne-infrastructure.eu/search	G04/G16/G37	FREE_NO_AUTH	PARTIAL
Geoscience Australia Portal	https://portal.ga.gov.au/	G21/G27/G26/G37	FREE_NO_AUTH	PARTIAL
Global Runoff Data Centre (GRDC) Data Portal	https://portal.grdc.bafg.de/	G21	FREE_NO_AUTH	PARTIAL
ISSN Portal	https://portal.issn.org/search	G15	CONSTRAINED	PASS
Kew Plants of the World Online (POWO)	https://powo.science.kew.org/	G22/G24	FREE_NO_AUTH	PASS
IAEA Power Reactor Information System (PRIS)	https://pris.iaea.org/pris/	G27	CONSTRAINED	PARTIAL
World Bank Projects & Operations	https://projects.worldbank.org/en/projects-operations/projects-home?lang=en	G07/G09/G10	FREE_NO_AUTH	PARTIAL
PsychArchives	https://psycharchives.org/	G03	FREE_NO_AUTH	PARTIAL
PsychPorta	https://psychporta.org/	G03	FREE_NO_AUTH	PARTIAL
pub.dev Package Search	https://pub.dev/help/search	G29	FREE_NO_AUTH	PARTIAL
NERIS Public｜Incident Basics	https://public.neris.fsri.org/	G34	FREE_NO_AUTH	PARTIAL
FCC Public Inspection Files	https://publicfiles.fcc.gov/	G36	FREE_NO_AUTH	PARTIAL
U.S. Copyright Public Records System (CPRS)	https://publicrecords.copyright.gov/	G32/G15	FREE_NO_AUTH	PARTIAL
USGS Publications Warehouse / Mineral Commodity Summaries	https://pubs.usgs.gov/search?q=mineral+commodity+summaries	G27	FREE_NO_AUTH	PASS
FDA Purple Book	https://purplebooksearch.fda.gov/	G23/G24	FREE_NO_AUTH	PARTIAL
IRENASTAT Online Data Query Tool	https://pxweb.irena.org/pxweb/en/IRENASTAT/	G27/G37	FREE_NO_AUTH	PASS
PyPI (Python Package Index)	https://pypi.org/	G29	FREE_NO_AUTH	PARTIAL
King Fahd Glorious Qur'an Printing Complex｜Qur'an Developer Platform	https://qurancomplex.gov.sa/en/techquran/dev/	G02/G14/G29	FREE_NO_AUTH	PARTIAL
FIDE Ratings Database	https://ratings.fide.com/	G17	FREE_NO_AUTH	PARTIAL
Reactome Content Service	https://reactome.org/dev/content-service	G22	FREE_NO_AUTH	PARTIAL
UK Charity Commission Register of Charities	https://register-of-charities.charitycommission.gov.uk/	G10/G11/G38	FREE_NO_AUTH	PARTIAL
New Zealand Charities Register	https://register.charities.govt.nz/CharitiesRegister/Search	G10/G11/G38	FREE_NO_AUTH	PARTIAL
FCA Financial Services Register	https://register.fca.org.uk/	G11/G12/G10	FREE_NO_AUTH	PARTIAL
ESMA Registers	https://registers.esma.europa.eu/	G11/G32	FREE_NO_AUTH	PARTIAL
FAA Aircraft Registration Inquiry	https://registry.faa.gov/aircraftinquiry/	G28	FREE_NO_AUTH	PARTIAL
Identifiers.org Central Registry	https://registry.identifiers.org/	G01/G22/G23/G37	FREE_NO_AUTH	PARTIAL
Terraform Registry	https://registry.terraform.io/	G29	FREE_NO_AUTH	PASS
Sigstore Rekor Transparency Log	https://rekor.sigstore.dev/	G31	FREE_NO_AUTH	PARTIAL
Ensembl REST API	https://rest.ensembl.org/	G22/G23	FREE_NO_AUTH	PARTIAL
Austrian RIS Legal Information System	https://ris.bka.gv.at/	G08	FREE_NO_AUTH	PARTIAL
ROAD Open Access Scholarly Resources	https://road.issn.org/advancedsearch	G01/G15/G37	FREE_NO_AUTH	PARTIAL
AMD ROCm Documentation Search	https://rocm.docs.amd.com/en/latest/search.html	G30	FREE_NO_AUTH	PARTIAL
Cuban Public Registry of Clinical Trials (RPCEC)	https://rpcec.sld.cu/	G23	FREE_NO_AUTH	PARTIAL
FMCSA SAFER Company Snapshot / SMS	https://safer.fmcsa.dot.gov/CompanySnapshot.aspx	G28/G34/G10	FREE_NO_AUTH	PARTIAL
FRA Safety Data Search / Public API	https://safetydata.fra.dot.gov/	G28	FREE_NO_AUTH	PARTIAL
SAM.gov Exclusions Search	https://sam.gov/content/exclusions	G07/G10/G35	FREE_NO_AUTH	PARTIAL
SAM.gov Entity Information	https://sam.gov/entity-information	G07/G10/G35	FREE_NO_AUTH	PARTIAL
OFAC Sanctions List Search / Sanctions List Service	https://sanctionssearch.ofac.treas.gov/	G11/G35	FREE_NO_AUTH	PARTIAL
scikit-learn Documentation Search	https://scikit-learn.org/stable/search.html	G29/G30	FREE_NO_AUTH	PARTIAL
OpenSSF Scorecard Public Data / API	https://scorecard.dev/	G31	FREE_NO_AUTH	PARTIAL
UK Sanctions List Search	https://search-uk-sanctions-list.service.gov.uk/	G35/G11	FREE_NO_AUTH	PARTIAL
Greece National Printing Office Legislation Search	https://search.et.gr/en/search-legislation/	G08	FREE_NO_AUTH	PARTIAL
NixOS Search Packages	https://search.nixos.org/packages	G29	FREE_NO_AUTH	PARTIAL
CRAN / R Search	https://search.r-project.org/	G29/G30	FREE_NO_AUTH	PARTIAL
Cisco Security Advisories / PSIRT Search	https://sec.cloudapps.cisco.com/security/center/Search.x	G29/G31	FREE_NO_AUTH	PARTIAL
Debian Security Tracker	https://security-tracker.debian.org/tracker	G29/G31	FREE_NO_AUTH	PASS
UNODC SHERLOC Case Law Database	https://sherloc.unodc.org/cld/v3/sherloc/cldb/index.html?lng=en	G08/G34	FREE_NO_AUTH	PARTIAL
UNODC SHERLOC Legislation Database	https://sherloc.unodc.org/cld/v3/sherloc/legdb/	G08/G34	FREE_NO_AUTH	PARTIAL
ESA ESASky	https://sky.esa.int/esasky/	G19/G37	FREE_NO_AUTH	PARTIAL
Smithsonian Online Virtual Archives (SOVA)	https://sova.si.edu/	G04/G15/G16/G37	FREE_NO_AUTH	PARTIAL
WMO OSCAR/Requirements	https://space.oscar.wmo.int/requirements	G21	FREE_NO_AUTH	PARTIAL
SuiteSparse Matrix Collection	https://sparse.tamu.edu/	G18	FREE_NO_AUTH	PARTIAL
JPL Horizons API	https://ssd-api.jpl.nasa.gov/doc/horizons.html	G19	FREE_NO_AUTH	PASS
Singapore Statutes Online	https://sso.agc.gov.sg/	G08	FREE_NO_AUTH	PARTIAL
The Stacks Project	https://stacks.math.columbia.edu/	G18	FREE_NO_AUTH	PARTIAL
NASA Technical Standards System (NTSS)	https://standards.nasa.gov/	G25/G26/G29/G32	FREE_NO_AUTH	PARTIAL
ASTM Standards / Standard Identifier Lookup	https://store.astm.org/e0008_e0008m-25.html	G25/G32	CONSTRAINED	PASS
Swift Package Index	https://swiftpackageindex.com/	G29	FREE_NO_AUTH	PARTIAL
CHILDES / TalkBankDB	https://talkbank.org/childes/	G03	FREE_AUTH	PARTIAL
OHCHR Treaty Body Database	https://tbinternet.ohchr.org/_layouts/15/TreatyBodyExternal/TBSearch.aspx?Lang=en	G06	FREE_NO_AUTH	PARTIAL
ECMAScript Language Specification (ECMA-262 / TC39)	https://tc39.es/ecma262/	G29	FREE_NO_AUTH	PASS
GBIF Occurrence API	https://techdocs.gbif.org/en/openapi/	G22	FREE_NO_AUTH	PASS
buildingSMART IFC Specifications Database	https://technical.buildingsmart.org/standards/ifc/ifc-schema-specifications/	G26/G32	FREE_NO_AUTH	PARTIAL
NASA TechPort	https://techport.nasa.gov/	G19/G25/G30/G37	FREE_NO_AUTH	PARTIAL
IP India Trade Mark Public Search	https://tmrsearch.ipindia.gov.in/tmrpublicsearch/	G32	FREE_NO_AUTH	PARTIAL
ENTSO-E Transparency Platform	https://transparency.entsoe.eu/	G27/G09	FREE_AUTH	PARTIAL
United Nations Treaty Collection / UN Treaty Series	https://treaties.un.org/	G07/G08	FREE_NO_AUTH	PARTIAL
Apache TVM Documentation / Search	https://tvm.apache.org/docs/	G30	FREE_NO_AUTH	PARTIAL
UAE Legislation	https://uaelegislation.gov.ae/en/search	G08	FREE_NO_AUTH	PARTIAL
Ubuntu CVE Reports	https://ubuntu.com/security/cves	G29/G31	FREE_NO_AUTH	PARTIAL
Ubuntu Security Notices (USN)	https://ubuntu.com/security/notices	G31	FREE_NO_AUTH	PASS
UN Comtrade API	https://uncomtrade.org/docs/un-comtrade-api/	G09/G28	FREE_NO_AUTH	PARTIAL
UNESCO Digital Library (UNESDOC)	https://unesdoc.unesco.org/	G06/G13/G15/G16/G37	FREE_NO_AUTH	PARTIAL
UNSD Classifications Registry / ISIC	https://unstats.un.org/unsd/classifications/Econ/registry/	G09/G10/G25	FREE_NO_AUTH	PASS
UNSD Energy Statistics API / UNdata Energy	https://unstats.un.org/unsd/energystats/data/	G27	FREE_NO_AUTH	PASS
UNGEGN World Geographical Names Database	https://unstats.un.org/unsd/geoinfo/geonames/	G05	FREE_NO_AUTH	PARTIAL
UNTERM	https://unterm.un.org/	G14	FREE_NO_AUTH	PARTIAL
USACE Digital Library Technical Reports	https://usace.contentdm.oclc.org/digital/collection/p266001coll1	G25/G26/G37	FREE_NO_AUTH	PARTIAL
UMLS Metathesaurus Browser	https://uts.nlm.nih.gov/uts/umls/home	G03/G14/G23	FREE_AUTH	PARTIAL
VigiAccess	https://vigiaccess.org/	G23	FREE_NO_AUTH	PARTIAL
Brønnøysund Register Centre Organisation Search	https://virksomhet.brreg.no/en/oppslag/enheter	G10	FREE_NO_AUTH	PARTIAL
Finland PRH Virre Information Service	https://virre.prh.fi/	G10/G11	CONSTRAINED	PARTIAL
CDS VizieR Catalogue Service	https://vizier.cds.unistra.fr/	G19/G37	FREE_NO_AUTH	PARTIAL
UNESCO Thesaurus / Vocabulary Services	https://vocabularies.unesco.org/	G06/G13/G14/G16	FREE_NO_AUTH	PARTIAL
NHTSA vPIC Vehicle API	https://vpic.nhtsa.dot.gov/api/	G28	FREE_NO_AUTH	PARTIAL
Vue.js API Reference Search	https://vuejs.org/api/	G29	FREE_NO_AUTH	PARTIAL
WOAH WAHIS	https://wahis.woah.org/	G24	FREE_NO_AUTH	PARTIAL
WALS Online	https://wals.info/	G14/G15	FREE_NO_AUTH	PARTIAL
WebAssembly Core Specification	https://webassembly.github.io/spec/core/	G29/G36	FREE_NO_AUTH	PASS
RASFF Window	https://webgate.ec.europa.eu/rasff-window/screen/search	G24/G33	FREE_NO_AUTH	PARTIAL
EU NANDO Notified Bodies Database	https://webgate.ec.europa.eu/single-market-compliance-space/notified-bodies	G26/G32/G33	FREE_NO_AUTH	PARTIAL
USDA NRCS Web Soil Survey	https://websoilsurvey.sc.egov.usda.gov/App/HomePage.htm	G21/G24/G26	FREE_NO_AUTH	PARTIAL
IEC Webstore Standards Search	https://webstore.iec.ch/	G25/G32/G36	CONSTRAINED	PASS
Wetten.nl	https://wetten.overheid.nl/	G08	FREE_NO_AUTH	PARTIAL
UNESCO World Heritage List / Search	https://whc.unesco.org/en/list/	G04/G16/G17	FREE_NO_AUTH	PASS
UNESCO World Heritage Centre Search	https://whc.unesco.org/en/search/	G04/G16/G21	FREE_NO_AUTH	PARTIAL
WHED｜World Higher Education Database	https://whed.net/	G13	CONSTRAINED	PARTIAL
FCC Universal Licensing System (ULS) License Search	https://wireless2.fcc.gov/UlsApp/UlsSearch/searchLicense.jsp	G36/G38	FREE_NO_AUTH	PARTIAL
CDC WONDER	https://wonder.cdc.gov/	G23/G21/G34	FREE_NO_AUTH	PARTIAL
Princeton WordNet	https://wordnet.princeton.edu/search	G14	FREE_NO_AUTH	PARTIAL
World Athletics Results Database	https://worldathletics.org/competition/calendar-results	G17	FREE_NO_AUTH	PASS
EPO Espacenet	https://worldwide.espacenet.com/	G32	FREE_NO_AUTH	PARTIAL
NTSB Aviation Investigation Search	https://www-s.ntsb.gov/Pages/AviationQueryV2.aspx	G28/G34	FREE_NO_AUTH	PARTIAL
Drugs@FDA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm	G23/G24	FREE_NO_AUTH	PARTIAL
FDA Orange Book	https://www.accessdata.fda.gov/scripts/cder/ob/index.cfm	G23/G24/G32	FREE_NO_AUTH	PARTIAL
FDA MAUDE Database	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfmaude/search.cfm	G23/G33	FREE_NO_AUTH	PARTIAL
FDA Product Classification Database	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPCD/classification.cfm	G23/G33	FREE_NO_AUTH	PARTIAL
FDA Premarket Approval (PMA) Database	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMA/pma.cfm	G23/G33	FREE_NO_AUTH	PARTIAL
FDA 510(k) Premarket Notification Database	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm	G23/G33	FREE_NO_AUTH	PARTIAL
FDA Establishment Registration & Device Listing	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfRL/rl.cfm	G23/G33/G10	FREE_NO_AUTH	PARTIAL
Australian Charities and Not-for-profits Commission Charity Register	https://www.acnc.gov.au/charity/charities	G10/G11/G38	FREE_NO_AUTH	PARTIAL
EudraVigilance ADRreports.eu	https://www.adrreports.eu/	G23	FREE_NO_AUTH	PARTIAL
AFRINIC RDAP	https://www.afrinic.net/whois-rdap	G36	FREE_NO_AUTH	PARTIAL
Australian New Zealand Clinical Trials Registry (ANZCTR)	https://www.anzctr.org.au/TrialSearch.aspx	G23	FREE_NO_AUTH	PARTIAL
APNIC RDAP	https://www.apnic.net/about-apnic/whois_search/about/rdap/	G36	FREE_NO_AUTH	PARTIAL
NARA National Archives Catalog / API	https://www.archives.gov/research/catalog/help/api	G04/G15/G16	FREE_AUTH	PASS
Argentina InfoLEG / Leyes Argentinas	https://www.argentina.gob.ar/normativa	G08	FREE_NO_AUTH	PARTIAL
ARIN RDAP	https://www.arin.net/resources/registry/whois/rdap/	G36	FREE_NO_AUTH	PARTIAL
National Endowment for the Arts｜Recent Grants / Literature Fellowships Search	https://www.arts.gov/grants/recent-grants/literature-fellowships	G16	FREE_NO_AUTH	PASS
ASIC Registers Search	https://www.asic.gov.au/online-services/search-asic-registers	G10/G11/G12	CONSTRAINED	PARTIAL
ASME Codes & Standards / Find Codes & Standards	https://www.asme.org/codes-standards/find-codes-standards	G25/G32	CONSTRAINED	PASS
FAA Operations & Performance Data	https://www.aspm.faa.gov/	G28	CONSTRAINED	PARTIAL
AusStage｜Australian Live Performance Database	https://www.ausstage.edu.au/pages/learn/search-ausstage	G16/G04/G37	FREE_NO_AUTH	PARTIAL
BGS GeoIndex	https://www.bgs.ac.uk/map-viewers/geoindex-onshore/	G21/G26/G37	FREE_NO_AUTH	PARTIAL
bioRxiv / medRxiv Search & API	https://www.biorxiv.org/search	G23/G37	FREE_NO_AUTH	PARTIAL
BIPM Key Comparison Database (KCDB)	https://www.bipm.org/kcdb/	G18/G25/G32	FREE_NO_AUTH	PARTIAL
BIS Interactive Commerce Control List	https://www.bis.gov/regulations/ear/interactive-commerce-control-list	G35/G32	FREE_NO_AUTH	PARTIAL
Singapore ACRA Bizfile Entity Search	https://www.bizfile.gov.sg/	G10	FREE_NO_AUTH	PARTIAL
BLS Public Data API	https://www.bls.gov/developers/	G09/G12/G37	FREE_NO_AUTH	PARTIAL
BOE Legislación Database	https://www.boe.es/buscar/	G08	FREE_NO_AUTH	PARTIAL
British Museum Collection Online	https://www.britishmuseum.org/collection/search	G04/G16	FREE_NO_AUTH	PARTIAL
BTS Freight Analysis Framework (FAF) Data Tabulation Tool	https://www.bts.gov/faf	G28/G09	FREE_NO_AUTH	PASS
buildingSMART Data Dictionary (bSDD)	https://www.buildingsmart.org/users/services/buildingsmart-data-dictionary/	G26/G32	FREE_NO_AUTH	PARTIAL
Canada CRA List of Charities	https://www.canada.ca/en/revenue-agency/services/charities-giving/list-charities.html	G10/G11/G38	FREE_NO_AUTH	PARTIAL
NCI EVS Explore / NCI Thesaurus	https://www.cancer.gov/about-nci/organization/cbiit/vocabulary	G03/G14/G23	FREE_NO_AUTH	PARTIAL
CareerOneStop Scholarship Finder	https://www.careeronestop.org/Toolkit/Training/find-scholarships.aspx	G13	FREE_NO_AUTH	PARTIAL
Catalogue of Life Search	https://www.catalogueoflife.org/data/search	G22	FREE_NO_AUTH	PARTIAL
Common CA Database (CCADB) Public Reports	https://www.ccadb.org/resources	G31/G32	FREE_NO_AUTH	PARTIAL
NIOSH Pocket Guide to Chemical Hazards	https://www.cdc.gov/niosh/npg/default.html	G12/G20/G25/G33	FREE_NO_AUTH	PARTIAL
NIOSHTIC-2 Bibliographic Database	https://www.cdc.gov/niosh/pubs/	G12/G25/G37	FREE_NO_AUTH	PARTIAL
U.S. Census Data API	https://www.census.gov/data/developers.html	G05/G06/G09/G10	FREE_AUTH	PARTIAL
U.S. Census Geocoder API	https://www.census.gov/data/developers/guidance/api-user-guide.Example_API_Queries.html	G05	FREE_NO_AUTH	PARTIAL
U.S. Census Household Pulse / HTOPS Data Tool	https://www.census.gov/programs-surveys/household-pulse-survey/data/data-tools.html	G06/G38	FREE_NO_AUTH	PARTIAL
Chinese Clinical Trial Registry (ChiCTR)	https://www.chictr.org.cn/searchprojEN.html	G23	FREE_NO_AUTH	PARTIAL
Church of England｜Canons Website Edition & Index	https://www.churchofengland.org/about/governance/legal-resources/canons-church-england	G02/G08	FREE_NO_AUTH	PARTIAL
CISA Cybersecurity Advisories	https://www.cisa.gov/news-events/cybersecurity-advisories	G31/G35	FREE_NO_AUTH	PASS
CIS Benchmarks	https://www.cisecurity.org/cis-benchmarks	G31/G32	FREE_NO_AUTH	PARTIAL
EU Clinical Trials Register (EU-CTR / EudraCT legacy trials)	https://www.clinicaltrialsregister.eu/ctr-search/trial/index.html	G23	FREE_NO_AUTH	PARTIAL
Cognitive Atlas	https://www.cognitiveatlas.org/	G03	FREE_NO_AUTH	PARTIAL
Ecuador SERCOP Public Procurement Search	https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/SL/view/BusquedaDeProcesos.cpe	G07/G10	FREE_NO_AUTH	PARTIAL
CFPB Consumer Complaint Database	https://www.consumerfinance.gov/data-research/consumer-complaints/	G33/G38	FREE_NO_AUTH	PARTIAL
UK Contracts Finder	https://www.contractsfinder.service.gov.uk/Search	G07/G10	FREE_NO_AUTH	PARTIAL
